class_entity,count,class_entity_label
Q3918,2751,university
Q6503489,2732,Law of the Republic of China
Q420927,2723,protein complex
Q21198342,2688,manga series
Q59541917,2670,Wikimedia topic category
Q1539532,2661,sports season of a sports club
Q16560,2637,palace
Q179049,2632,nature reserve
Q327333,2599,government agency
Q187223,2570,lagoon
Q56428020,2566,Wikimedia lists category
Q209939,2562,live album
Q72803708,2553,possible globular cluster
Q773668,2548,open-access journal
Q25379,2529,play
Q56731284,2525,Act of the Parliament of Australia
Q149566,2525,middle school
Q13406554,2514,sports competition
Q107102664,2514,cell line from embryonic stem cells
Q81505329,2506,protein family associated with domain
Q726,2501,horse
Q168845,2493,star cluster
Q235557,2476,file format
Q208569,2462,studio album
Q1505023,2457,Interpellation
Q27686,2456,hotel
Q35127,2453,website
Q17524420,2452,aspect of history
Q1115575,2433,civil parish
Q26894053,2428,basketball team season
Q2085381,2428,publisher
Q6453643,2421,decree law
Q169930,2418,extended play
Q891723,2409,public company
Q46135307,2392,nation at sport competition
Q160091,2378,plain
Q953806,2371,bus stop
Q44613,2363,monastery
Q24452,2357,Algol variable
Q67201574,2310,sub-millimetric source
Q24354,2307,theatre
Q898273,2284,protein domain
Q61089180,2284,part of municipality in the Czech Republic
Q7397,2279,software
Q1504425,2270,systematic review
Q97695005,2265,committee group motion
Q27671617,2246,finite cell line
Q61278455,2228,health sub-centre
Q13417114,2220,noble family
Q34038,2218,waterfall
Q965568,2210,kelurahan
Q18761202,2194,watercolor painting
Q1302249,2193,cross-reference
Q207628,2192,musical composition
Q11755880,2192,residential building
Q2231510,2188,col
Q2557101,2175,low-ionization nuclear emission-line region
Q691269,2167,W Ursae Majoris variable
Q31855,2164,research institute
Q67015883,2164,group or class of enzymes
Q10451997,2160,classical Cepheid variable
Q3231690,2156,automobile model
Q15243209,2152,historic district
Q14860489,2148,molecular function
Q814254,2142,feature
Q26267864,2124,Wikimedia KML file
Q14659,2112,coat of arms
Q21199,2098,natural number
Q13632,2092,planetary nebula
Q4414033,2085,rural council of Ukraine
Q4504495,2083,award ceremony
Q28738741,2071,interacting galaxies
Q294414,2069,public office
Q46686,2068,reredos
Q783794,2066,company
Q51591359,2043,voting result
Q10429085,2041,report
Q8436,2041,family
Q310890,2038,monotypic taxon
Q7777570,2031,theatrical production
Q498162,2019,census-designated place
Q34770,2011,language
Q1497375,1999,architectural ensemble
Q22247,1994,gamma-ray burst
Q15773317,1991,television character
Q721747,1990,commemorative plaque
Q684740,1972,real property
Q4663903,1970,Wikimedia portal
Q262166,1966,municipality of Germany
Q184358,1961,reef
Q64063386,1961,upper primary school
Q18127,1957,record label
Q1093829,1955,city of the United States
Q2389082,1954,rural commune of Vietnam
Q607241,1949,clergy house
Q26271642,1948,library network
Q17362920,1946,Wikimedia duplicated page
Q96323920,1942,no-label
Q87167,1926,manuscript
Q1142192,1926,peculiar star
Q17537576,1921,creative work
Q811534,1917,remarkable tree
Q11396180,1915,library branch
Q1238720,1910,volume
Q1555508,1902,radio program
Q515,1901,city
Q32815,1898,mosque
Q41710,1890,ethnic group
Q55850593,1887,music track with vocals
Q479053,1886,gromada of Poland
Q759421,1884,nature reserve
Q1081138,1877,historic site
Q91257459,1849,PM20 country/subject folder
Q736917,1843,formation
Q42948,1842,wall
Q1362233,1840,Upper Lusatian house
Q473972,1836,protected area
Q7437991,1833,Scottish Statutory Instrument
Q986065,1830,subdistrict of China
Q686822,1827,bill
Q1500350,1825,township of the People's Republic of China
Q115518,1825,low-surface-brightness galaxy
Q50707,1817,composite number
Q879050,1815,manor house
Q21503788,1813,Landschaftsschutzgebiet
Q4671277,1810,academic institution
Q2065227,1804,official journal
Q212971,1799,Request for Comments
Q71965638,1799,Seyfert 2 galaxy
Q483453,1796,fountain
Q37748,1789,chromosome
Q7604692,1786,Statutory Rules and Orders
Q1076579,1782,act of parliament
Q166118,1781,archives
Q1244442,1779,school building
Q67388747,1775,urban school
Q1134686,1764,frazione
Q3700011,1763,kecamatan
Q35054,1757,post office
Q190107,1755,weather station
Q17051044,1729,mahalle
Q35666,1725,glacier
Q105774620,1716,Public Act of Parliament of the United Kingdom
Q1080794,1710,state school
Q3253281,1708,pond
Q654476,1705,khachkar
Q23012917,1704,village of Burkina Faso
Q64063317,1697,lower primary school
Q28337,1696,shoal
Q217012,1690,radio galaxy
Q273057,1690,discography
Q5003624,1672,memorial
Q55521176,1656,lower secondary school in Japan
Q74817647,1654,aspect in a geographic region
Q2221906,1653,geographic location
Q49084,1647,short story
Q2319498,1647,landmark
Q1040689,1642,synonym
Q15184295,1641,Wikimedia module
Q105984528,1641,loi de ministère
Q23927052,1641,conference paper
Q747074,1641,comune of Italy
Q107103143,1635,Induced pluripotent stem cell line
Q1402850,1633,field study
Q4671329,1626,academy school
Q13226383,1611,facility
Q55089312,1604,edition of commercial catalogue
Q4287745,1603,medical organization
Q107679,1602,cliff
Q7930614,1593,village of Taiwan
Q48204,1592,voluntary association
Q15056995,1584,aircraft model
Q3240003,1582,bus route
Q71798788,1581,UV-emission source
Q341,1562,free software
Q17143723,1547,catholic parish
Q39715,1538,lighthouse
Q537127,1538,road bridge
Q28640,1528,profession
Q131596,1527,farm
Q57775518,1524,lower secondary school
Q2020153,1508,academic conference
Q188593,1498,cepheid variable
Q2385804,1491,educational institution
Q11835431,1488,engraving
Q170584,1479,project
Q64062731,1476,higher secondary school
Q20747295,1476,protein-coding gene
Q28931760,1463,parish of New South Wales
Q1076486,1449,sports venue
Q483110,1430,stadium
Q180958,1417,faculty
Q193842,1415,geologic map
Q2074737,1410,municipality of Spain
Q101687,1409,altar
Q98467717,1407,record of meeting of the Riksdag
Q95074,1406,fictional character
Q19832486,1405,locomotive class
Q3658341,1400,literary character
Q1288568,1399,modern language
Q1077097,1390,tambon
Q1980247,1390,chapter
Q1616075,1381,television station
Q637866,1381,book review
Q13220204,1374,second-level administrative country subdivision
Q543654,1371,city hall
Q22808404,1367,station located on surface
Q67201561,1363,millimetric Radio-source
Q56061,1359,administrative territorial entity
Q30092776,1358,lake water body
Q1344,1357,opera
Q3395121,1357,wayside shrine
Q786820,1338,automobile manufacturer
Q317557,1330,parish church
Q618123,1330,geographical feature
Q1210950,1326,channel
Q18536594,1325,Olympic sporting event
Q502074,1316,heliport
Q5393308,1313,Buddhist temple
Q4285979,1310,gampong
Q88965416,1309,school unit
Q3917681,1308,embassy
Q836976,1308,Delta Scuti variable
Q1114461,1301,comics character
Q14757767,1297,fourth-level administrative country subdivision
Q44539,1289,temple
Q15238777,1288,legislative term
Q2188189,1284,musical work
Q5155053,1281,community school
Q12488913,1280,kampung of Papua
Q2023000,1279,khutor
Q15127012,1279,town of the United States
Q398141,1271,school district
Q173387,1268,grave
Q188509,1267,suburb
Q45400320,1266,open-access publisher
Q51031626,1261,sport competition at a multi-sport event
Q15911738,1258,hydroelectric power station
Q17315159,1257,international association football match
Q1191622,1242,Special Area of Conservation
Q5153359,1242,municipality of the Czech Republic
Q63975020,1238,musical theatre character
Q47018478,1237,calendar month of a given year
Q856713,1229,Christian hymn
Q96323943,1220,no-label
Q22808403,1219,station located underground
Q27554370,1217,hybridoma
Q3887,1208,solar eclipse
Q350895,1208,abandoned settlement
Q1298239,1205,decree
Q10929058,1204,model
Q2175765,1204,tram stop
Q11315,1204,shopping center
Q65954144,1189,Canara Bank branch
Q101401,1180,bell
Q3395377,1180,ancient monument
Q55678,1178,railway stop
Q211748,1170,oil field
Q3241045,1163,disease outbreak
Q3184121,1149,municipality of Brazil
Q12089225,1147,mineral species
Q214252,1147,stable
Q17146139,1144,Wikimedia route diagram
Q12518,1139,tower
Q192611,1139,electoral district
Q2831984,1139,comic book album
Q333291,1133,abstract
Q21286738,1123,Wikimedia permanent duplicate item
Q2488,1122,spiral galaxy
